,name,area,address,latitude,longitude,naver_store_type
25,02샌드위치,순천,전라남도 순천시 조례동 1594,34.9539,127.523,샌드위치
26,304,동성로,대구광역시 중구 덕산동 124-26,35.8663,128.595,스터디카페
27,031COFFEE,소흘읍,경기도 포천시 소흘읍 송우리 729-4,37.829658,127.140963,카페
28,032 닭강정,역곡,경기도 부천시 역곡동 109,37.4879,126.812,"치킨,닭강정"
29,033터그,원주,강원도 원주시 단계동 842 지하,37.347362,127.932211,
30,03수제비칼국수,방배동,서울특별시 서초구 방배동 768-2,37.495087,126.985301,
31,03인앤아웃,연희동,서울특별시 서대문구 연희동 126-2,37.568857,126.928738,샌드위치
32,041프로젝트,두정동,충청남도 천안시 서북구 두정동 892,36.8322,127.135,요리주점
33,0430 국물닭갈비,마산,경상남도 창원시 마산합포구 홍문동 16-3,35.182722,128.55883400000002,
34,04Pan,청라,인천광역시 서구 연희동 798-2,37.548976,126.678194,
35,04위로,울산대,울산광역시 남구 무거동 628-26,35.54190399999999,129.261078,양식
36,04튀김천국,진해,경상남도 창원시 진해구 경화동 906-16,35.156711,128.690374,종합분식
37,04하우스,송내역,경기도 부천시 원미구 상동 411,37.49018,126.752903,패밀리레스토랑
38,051 우리동네,해운대,부산광역시 해운대구 우동 655-9,35.160451,129.154354,
39,053키친,대구,대구광역시 중구 완전동 5-15,35.872716,128.598477,
40,05식당,구로디지털단지,서울특별시 구로구 구로동 212-8,37.483691,126.895442,한식
41,064바당,표선,제주특별자치도 서귀포시 표선면 세화리 291-1,33.305326,126.80657,생선회
42,072 정육식당,백석동,인천광역시 서구 백석동 85,37.584075,126.670097,정육식당
43,0807과자점,광주,광주광역시 남구 백운동 588-24,35.1364,126.908,케이크전문
44,082네,장항동,경기도 고양시 일산동구 장항동 746-1,37.663474,126.764247,
45,09264커피&amp;갤러리,매호동,대구광역시 수성구 매호동 1058-2,35.843296,128.709532,카페
46,095베이커리,화도읍,경기도 남양주시 화도읍 가곡리 169-41,37.680101,127.302668,베이커리
47,09바다장어,월곡동,광주광역시 광산구 월곡동 680-3,35.1794,126.809,"장어,먹장어요리"
48,09순대국밥,청송,경상북도 청송군 청송읍 월막리 484-26,36.434432,129.061002,한정식
49,09학번식당,천안,충청남도 천안시 동남구 안서동 241-15,36.830532,127.17582,
50,0라이브,경안동,경기도 광주 경안동 52-3,37.410126,127.257378,
51,0번가든,도봉동,서울특별시 도봉구 도봉동 411-1,37.686566,127.038024,
52,0시실내포장,하남읍,경상남도 밀양시 하남읍 수산리 748-2,35.375294,128.70684599999998,
53,0심이실내포차,신월동,서울특별시 양천구 신월동 148-6,37.535527,126.827453,
54,1.5닭갈비,춘천,강원도 춘천시 후평3동 801-13,37.876395,127.753096,닭갈비
55,10 PIPE,삼송,경기도 고양시 덕양구 원흥동 186-1,37.647176,126.874364,"카페,디저트"
56,10 꼬르소꼬모 카페,청담,서울특별시 강남구 청담동 79  Trinity 빌딩 지하 1층,37.526917,127.042419,종합패션
57,100 Sheets,대흥,대전광역시 중구 대흥동 409-17,36.3251,127.425,"카페,디저트"
58,1000냥 노가리비어,다대포,부산광역시 사하구 다대동 933-15,35.057839,128.970277,
59,1000원노가리&호프,일산,경기도 고양시 덕양구 행신동 175-5,37.6197,126.844,
60,1003디저트카페,담양,전라남도 담양군 담양읍 학동리 528,35.320721,127.004678,"카페,디저트"
61,1004네 떡갈비,율정동,경기도 양주시 율정동 120-22,37.819223,127.10467,한식
62,1004임자도횟집,괴안동,경기도 부천시 괴안동 108-6,37.482738,126.811292,생선회
63,1004화로구이,평거동,경상남도 진주시 평거동 726-3,35.169062,128.052647,돼지고기구이
64,1004화로구이,진주,경상남도 진주시 이현동 11-65,35.1924,128.062,돼지고기구이
65,1005 돈까츠,천호동,서울특별시 강동구 천호동 232-11,37.546919,127.135399,
66,100년건강장수추어탕,소사동,경기도 부천시 소사본동 156-7,37.476404,126.798193,추어탕
67,100년사골짬뽕,마평동,경기도 용인시 처인구 마평동 695-7,37.237461,127.214294,중식당
