,name,area,address,latitude,longitude
20243,치킨극장,영남대,경상북도 경산시 삼풍동 513-10,35.820743,128.755862
20246,치킨깡,서면,부산광역시 부산진구 부전2동 168-388,35.156416,129.061035
20249,치킨나라,순창,전라북도 순창군 순창읍 남계리 613-7,35.372793,127.142075
20266,치킨누리,삼정동,경기도 부천시 삼정동 283,37.51835,126.767075
20270,치킨달인마약치킨,평내동,경기도 남양주시 평내동 269-20,37.648987,127.23878700000002
20272,치킨닷컴,대야미동,경기도 군포시 대야미동 642-7,37.330153,126.91690700000001
20273,치킨닷컴,거모동,경기도 시흥시 거모동 1442-4,37.348507,126.78568
20278,치킨대학교,부천역,경기도 부천시 심곡동 190-7,37.4876,126.783
20282,치킨대학교 구월캠퍼스,구월동,인천광역시 남동구 구월동 1458,37.4463,126.702
20283,치킨대학교 하늘도시캠퍼스,영종도,인천광역시 중구 중산동 1882-10,37.4898,126.563
20284,치킨더멤버,도내동,경기도 고양시 덕양구 도내동 1042-3,37.629967,126.87312
20287,치킨더멤버,풍동,경기도 고양시 일산동구 풍동 184-10,37.663759000000006,126.804065
20293,치킨더비,상일동,서울특별시 강동구 상일동 502,37.549803999999995,127.175348
20294,치킨더비,강남역,서울특별시 강남구 역삼동 827-9,37.496456,127.030502
20296,치킨더비,영통,경기도 수원시 영통구 영통동 1010-2,37.252363,127.075919
20297,치킨더비,송도,인천광역시 연수구 송도동 149,37.388037,126.66506799999999
20301,치킨더비,문정역,서울특별시 송파구 문정동 643-1,37.486053999999996,127.12101100000001
20303,치킨더비어,원동,경기도 오산시 원동 379-12,37.138028000000006,127.074928
20304,치킨더샵,서울대입구,서울특별시 관악구 봉천동 1597-1,37.477962,126.95256599999999
20306,치킨더줌,태전동,대구광역시 북구 태전동 205-7,35.918821,128.544207
20307,치킨더줌,효목1동,대구광역시 동구 효목1동 137-29,35.883309000000004,128.643424
20309,치킨더치킨,강릉,강원도 강릉시 교동 1890-5,37.762440999999995,128.875917
20335,치킨더홈,명정동,경상남도 통영시 명정동 400-3,34.845692,128.417437
20341,치킨더홈,수성동4가,대구광역시 수성구 수성동4가 1020-15,35.860082,128.618316
20345,치킨더홈,포남동,강원도 강릉시 포남동 1157-7,37.7672,128.909
20356,치킨더홈,공주,충청남도 공주시 중학동 51-1,36.4501,127.124
20361,치킨더홈,충주,충청북도 충주시 목행동 676-53,37.0151,127.91854
20363,치킨더홈,목포,전라남도 목포시 용해동 966-6,34.81136,126.39658
20364,치킨더홈,여주,경기도 여주시 현암동 194-3,37.305935,127.64220800000001
20369,치킨더홈,성남,경기도 성남시 수정구 양지동 503,37.45834,127.16331000000001
20373,치킨덕후두마리치킨,원종동,경기도 부천시 원종동 288-23,37.522158000000005,126.81020600000001
20374,치킨데스,회기,서울특별시 동대문구 회기동 61-2,37.590496,127.05398999999998
20383,치킨독립군,조리읍,경기도 파주시 조리읍 대원리 215-1,37.726538,126.819529
20389,치킨랏대,동면,충청북도 음성군 감곡면 오향리 753-6,37.111371999999996,127.64242800000001
20391,치킨랩,두정동,충청남도 천안시 서북구 두정동 708,36.833104999999996,127.131321
20397,치킨리그,야탑,경기도 성남시 분당구 야탑동 372-16,37.4117,127.131
20402,치킨리틀,하안동,경기도 광명시 하안동 650,37.462624,126.87575
20404,치킨마당,구로디지털단지,서울특별시 구로구 구로동 1127-26,37.4828,126.899
20405,치킨마당,창우동,경기도 하남시 창우동 521,37.53618,127.225706
20412,치킨마루,강일동,서울특별시 강동구 강일동 676,37.565726,127.17318799999998
20431,치킨마루,범박동,경기도 부천시 범박동 153-2,37.474739,126.807957
20445,치킨마루,인창동,경기도 구리시 인창동 651-30,37.608287,127.133276
20453,치킨마루,구미동,경기도 성남시 분당구 구미동 220-1,37.339359,127.11651200000001
20457,치킨마루,지행동,경기도 동두천시 지행동 694,37.893106,127.05322
20466,치킨마루,양재동,서울특별시 서초구 양재동 391-18,37.472084,127.046424
20470,치킨마루,청계동,경기도 의왕시 청계동 991,37.389815000000006,126.99471499999999
20481,치킨마루,호원동,경기도 의정부시 호원동 325-8,37.728168,127.043015
20492,치킨마루,전북대,전라북도 전주시 덕진구 덕진동1가 1312-36,35.845013,127.125037
20494,치킨마루,언남동,경기도 용인시 기흥구 언남동 336-7,37.29376,127.120653
20521,치킨마루,호매실동,경기도 수원시 권선구 호매실동 1395-3,37.260104999999996,126.962763
20523,치킨마루,호평동,경기도 남양주시 호평동 712,37.65852,127.24081399999999
20532,치킨마루,성신여대,서울특별시 성북구 돈암동 74-310,37.59531,127.02278000000001
20533,치킨마루,금호동,광주광역시 서구 금호동 239-3,35.129448,126.85486599999999
20539,치킨마루,낙성대,서울 관악구 난향동 1735-7,37.460767,126.91938600000002
20545,치킨마루,전대후문,광주광역시 북구 용봉동 161-25,35.175385999999996,126.912811
20546,치킨마루,광운대,서울특별시 노원구 월계동 383-30,37.622338,127.059758
20557,치킨마루,남악,전라남도 무안군 삼향읍 남악리 2116,34.814049,126.464322
20563,치킨마루,학익동,인천광역시 남구 학익동 48-1,37.443284000000006,126.677107
20564,치킨마루,고암동,경기도 양주시 고암동 583,37.833588,127.07375
20565,치킨마루,문학동,인천광역시 남구 문학동 391-1,37.437353,126.68425500000001
20569,치킨마루,행신,경기도 고양시 덕양구 행신동 948-2,37.62362,126.83667
20571,치킨마루,이대역,서울 서대문구 북아현동 135-12,37.557823,126.95647
20573,치킨마루,봉담,경기도 화성시 봉담읍 동화리 599-1,37.217148,126.95858999999999
20578,치킨마루,문현동,부산광역시 남구 문현3동 374-1,35.137904,129.068388
20587,치킨마루,청량리,서울특별시 동대문구 청량리동 57-1,37.58647,127.04711999999999
