,name
0,Agal
1,Assisy
2,Battered Sole
3,Chakyoung
4,Delabobo
5,Gogoss Pub
6,Madeleine
7,NesCafe
8,Red Camp
9,T원
10,국수이야기
11,깐부치킨
12,모이바바
13,미랑
14,써리힐
15,에스프레소 파파
16,전통 중경 마라썅궈
17,진삼미 샌드위치
18,한옥마을 전주비빔밥
19,#Shinsons
20,BEIGE
21,meaL
22,분식
23,&meaL
24,&So You
25,(사)한국신체장애인복지회
26,(주)다우린 화로닭발
27,(주)맛있는 상상
28,(주)쥬노FNC 카페네스카페
29,(주)현대의리푸드 고깃간&면옥
30,(주)호미
31,003
32,007물회회연어
33,007반점
35,007보리밥
36,007식당
37,010수산
38,012촌밥집
39,0131
40,01디자인
41,021coffee
42,02샌드위치
43,0304
44,031COFFEE
45,032 닭강정
46,033터그
47,03불고기
48,03수제비칼국수
49,03인앤아웃
50,041프로젝트
51,0427카페
52,0430 국물닭갈비
53,04E 라운지바
54,04Pan
55,04위로
56,04튀김천국
57,04하우스
58,051 우리동네
59,053키친
60,05식당
61,060버거앤비어
62,064바당
63,072 정육식당
64,072부대찌개
65,0731커피로스터즈
66,0807과자점
67,080부대찌개
68,082네
70,09264커피갤러리
71,095베이커리
72,095베이커리빵구오
73,09바다장어
74,09순대국밥
75,09촌닭
76,09학번식당
77,0라이브
78,0번가든
79,0시실내포장
80,0심이실내포차
81,0칼로리
82,1.2.3.횟집
83,1.4갈비살
84,1.5닭갈비
86,1.5춘천닭갈비
87,1.618
88,1/2라운드
89,10 billion kitchen
90,10 PIPE
91,10 꼬르소꼬모 카페
92,10.5inch
93,100 Sheets
94,1000\\%COFFEE
95,1000냥 노가리비어
96,1000냥노가리
97,1000원노가리&호프
98,1003디저트카페
99,1004네 떡갈비
100,1004임자도횟집
101,1004카페
102,1004화로구이
105,1005 돈까츠
106,100년건강장수추어탕
107,100년사골짬뽕
108,100년서서갈비
109,100년설렁탕
110,100년의꿈 제주해물탕
111,100년의맛
112,100년전통초당순두부
113,100년한우
114,100년황태
115,100라운지
116,100번24시순대돼지국밥
117,100번식당
118,100번지 연탄구이
119,100번지연탄구이
121,100번회센타
122,100브랜드
123,100세 돈가식육식당
124,100세곱창
125,100세시대보양탕
